         151919 function calls (145200 primitive calls) in 1.406 seconds

   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.000    0.000 _cplogging.py:408(WSGIErrorHandler)
        1    0.000    0.000    0.000    0.000 _cpreqbody.py:102(<module>)
        1    0.000    0.000    0.000    0.000 _cpreqbody.py:270(Entity)
        1    0.000    0.000    0.000    0.000 _cpreqbody.py:525(Part)
        1    0.000    0.000    0.000    0.000 _cpreqbody.py:713(SizedReader)
        1    0.000    0.000    0.000    0.000 _cpreqbody.py:891(RequestBody)
        1    0.000    0.000    0.000    0.000 _cprequest.py:15(Hook)
        1    0.000    0.000    0.000    0.000 _cprequest.py:172(Request)
        1    0.004    0.004    0.005    0.005 _cprequest.py:2(<module>)
        1    0.000    0.000    0.000    0.000 _cprequest.py:464(__init__)
        1    0.000    0.000    0.000    0.000 _cprequest.py:73(HookMap)
        1    0.000    0.000    0.000    0.000 _cprequest.py:76(__new__)
        1    0.000    0.000    0.000    0.000 _cprequest.py:782(ResponseBody)
        1    0.000    0.000    0.000    0.000 _cprequest.py:789(__get__)
        1    0.000    0.000    0.000    0.000 _cprequest.py:82(__init__)
        1    0.000    0.000    0.000    0.000 _cprequest.py:824(Response)
        1    0.000    0.000    0.000    0.000 _cprequest.py:868(__init__)
        1    0.000    0.000    0.000    0.000 _cpserver.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _cpserver.py:129(__init__)
        1    0.001    0.001    0.036    0.036 _cpserver.py:135(httpserver_from_self)
        1    0.000    0.000    0.000    0.000 _cpserver.py:14(Server)
        1    0.000    0.000    0.239    0.239 _cpserver.py:147(start)
       12    0.000    0.000    0.000    0.000 _cpserver.py:154(_get_bind_addr)
        1    0.000    0.000    0.000    0.000 _cpserver.py:160(_set_bind_addr)
       26    0.000    0.000    0.000    0.000 _cpserver.py:29(_get_socket_host)
        1    0.000    0.000    0.000    0.000 _cpserver.py:31(_set_socket_host)
        1    0.000    0.000    0.000    0.000 _cptools.py:144(HandlerTool)
        3    0.000    0.000    0.000    0.000 _cptools.py:155(__init__)
        1    0.000    0.000    0.000    0.000 _cptools.py:158(handler)
        1    0.000    0.000    0.000    0.000 _cptools.py:193(HandlerWrapperTool)
        1    0.000    0.000    0.000    0.000 _cptools.py:225(ErrorTool)
        2    0.000    0.000    0.000    0.000 _cptools.py:228(__init__)
        1    0.019    0.019    0.044    0.044 _cptools.py:23(<module>)
        1    0.000    0.000    0.000    0.000 _cptools.py:251(SessionTool)
        1    0.000    0.000    0.000    0.000 _cptools.py:268(__init__)
       31    0.000    0.000    0.000    0.000 _cptools.py:31(_getargs)
        1    0.000    0.000    0.000    0.000 _cptools.py:319(XMLRPCController)
        1    0.000    0.000    0.000    0.000 _cptools.py:381(SessionAuthTool)
        1    0.000    0.000    0.000    0.000 _cptools.py:383(_setargs)
        1    0.000    0.000    0.000    0.000 _cptools.py:389(CachingTool)
        1    0.000    0.000    0.000    0.000 _cptools.py:413(Toolbox)
        1    0.000    0.000    0.000    0.000 _cptools.py:420(__init__)
       34    0.000    0.000    0.000    0.000 _cptools.py:423(__setattr__)
        1    0.000    0.000    0.000    0.000 _cptools.py:450(DeprecatedTool)
        2    0.000    0.000    0.000    0.000 _cptools.py:455(__init__)
        1    0.000    0.000    0.000    0.000 _cptools.py:49(Tool)
       31    0.000    0.000    0.000    0.000 _cptools.py:57(__init__)
       30    0.000    0.000    0.000    0.000 _cptools.py:71(_setargs)
        1    0.004    0.004    0.004    0.004 _cptree.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _cptree.py:12(Application)
        1    0.000    0.000    0.000    0.000 _cptree.py:150(Tree)
        1    0.000    0.000    0.000    0.000 _cptree.py:165(__init__)
        1    0.000    0.000    0.000    0.000 _cptree.py:168(mount)
        1    0.000    0.000    0.000    0.000 _cptree.py:47(__init__)
        1    0.000    0.000    0.000    0.000 _cptree.py:85(_set_script_name)
        1    0.000    0.000    0.000    0.000 _cpwsgi.py:128(ExceptionTrapper)
